"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\.eslintrc.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\README.md", "Markdown", 0, 0, 51, 0, 0, 0, 2, 21, 74
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\nest-cli.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\package-lock.json", "JSON", 9224, 0, 0, 0, 0, 0, 0, 1, 9225
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\package.json", "JSON", 84, 0, 0, 0, 0, 0, 6, 0, 90
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\app.module.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\auth.cotroller.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 7, 41
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\auth.module.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\dto\login.dto.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\guard\jwt.guards.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 7, 21
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\guard\role.guard.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\strategy\jwt.strategy.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\auth\strategy\local.strategy.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\dto\create-login-log.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 5, 14
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\dto\update-login-log.dto.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\entities\login-log.entity.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 6, 18
"c:\Users\Admin\Desktop\vms-Pass-Generation\backend\src\login-logs\login-logs.controller.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 7, 29
